,text,keywords
232,therearenumberofavenuestoexploreforfutureworkinparticulartheuseofothertimefrequencyanalysismethodsthestftspectrogramwasutilisedhereasitisthesimplesttoimplementwhilstalloftheechoescouldbeclearlyresolvedinbothtimeandfrequencythespectrogramsuffersfromfixedresolutionanincreaseoftimeresolutionnecessarilyleadstodecreaseinfrequencyresolutionothermethodsoftimefrequencyanalysissuchasdiscretewaveletanalysisbenefitfromadvantageofmultiresolutionanalysiswhichoffersimprovedtemporalresolutionofthehighfrequencycomponentsandfrequencyresolutionofthelowfrequencycomponentsalsowhilstthecurrentworkhasutilisedshwavesthataregeneratedbyematsthephysicsthatdescribesthepulsedarraysystemisuniversaltoothertypesofwavesfutureworkwillincludedemonstratingthisphenomenonwithnumberofothersystemsforexampleusinglongitudinalultrasonicwavesorelectromagnetic,"['demonstrating this phenomenon with a number of other systems', 'discrete wavelet analysis', 'electromagnetic waves', 'EMATs', 'fixed resolution', 'frequency resolution', 'longitudinal ultrasonic waves', 'low frequency components', 'multi-resolution analysis', 'pulsed array system', 'SH waves', 'spectrogram', 'STFT spectrogram', 'temporal resolution', 'time–frequency analysis', 'time resolution', 'use of other time–frequency analysis methods']"
233,discoveringthatboththevacancyandinterstitialdefectmigrationpathwaysareconfinedtogafreeregionssuggestschangesinrecombinationratesofisolatedvacancyinterstitialpairsincomparisontopureputhedegreetowhichtheratesareeffecteddependsonthedistributionofresidualdefectspostcascadeeventinadditiontotheconcentrationandorderingofthegaatomsifvacanciesandinterstitialsbecomegreatlyseparatedafterthecollisioncascadethenpathwaystorecombinationarelikelytobecomerestrictedandrecoverytimeswillbeextendedthisisviableforcascadesthatcreatedvacancyrichcoresurroundedbydispersedinterstitialsasfoundforthelowenergycascadesinpuandpugathismayalsobethecaseforchannellingeventswhereenergeticatomstraveldeepintothelatticethroughchannelsoflowatomic,"['cascade event', 'channelling events', 'collision cascade', 'defect migration pathways', 'energetic atoms travel deep into the lattice through channels of low atomic density', 'Ga', 'Ga atoms', 'low energy cascades in Pu and PuGa']"
234,thepesshereemployedhavealreadybeentestedinordertoverifytheirvalidityfordynamicalpurposessuchtestsincludestudiesofthenitrogenexchangereactionbothadiabaticbyrunningtrajectoriesonthelowestsurfacesandnonadiabaticbyusingthetrajectorysurfacehopingmethodfortransitionstotheexcitedstateofsamesymmetryitwasconcludedthatnonadiabatictransitionscouldnotmakesignificantimpactontheratecoefficientsandthereforealltrajectoriesherereportedareindependentlyintegratedforeachsymmetryonthecorrespondinglowestadiabaticpesinfactwehavetestedtheimpactofrunningthetrajectoriesstartingontheuppersheetsandfoundnovibrationaltransitiontotakeplaceonlysmallamountsofrotationalenergyisexchangedinthiscasealsoneglectedareelectronictransitionstothequartetstatewhicharebelievedtobefarlessprobablethanthesimplevibrationalenergytransferherestudiedduetotheirspinforbiddencharacteritshouldalsobenotedthattheuseofquasiclassicaltrajectoriesisjustifiedbythelargemassesoftheatomsinvolved,"['atoms', 'electronic transitions to the quartet state', 'independently integrated for each symmetry', 'rate coefficients', 'rotational energy', 'studies of the nitrogen exchange reaction', 'trajectory surface hoping', 'trajectory surface hoping (TSH) method', 'TSH', 'use of quasiclassical trajectories', 'verify their validity for dynamical purposes', 'vibrational transition']"
235,generalizedpolynomialchaosexpansionsoneapproachtomodeldensitieswithstochasticallydependentcomponentsnumericallyistoreformulatetheuncertaintyproblemassetofindependentcomponentsthroughgeneralisedpolynomialchaosexpansionasdescribedindetailinsectionrosenblatttransformationallowsforthemappingbetweenanydomainandtheunithypercubewithdoubletransformationwecanreformulatetheresponsefunctionisanyrandomvariabledrawnfromprwhichforsimplicityischosentoconsistsofindependentcomponentsalsoisconstructedtobeorthogonalwithrespecttolrnotlqinanycaseiseitherselectedfromtheaskeywilsonschemeorcalculatedusingthediscretizedstieltjesprocedureweremarkthattheaccuracyoftheapproximationdeteriorateifthetransformationcompositionisnotsmoothdakotaturnsandchaospyallsupportgeneralizedpolynomialchaosexpansionsforindependentstochasticvariablesandthenormalnatafcopulalistedintablesincechaospyhastherosenblatttransformationunderlyingthecomputationalframeworkgeneralizedpolynomialchaosexpansionsareinfactavailableforall,"['Askey-Wilson scheme', 'computational framework', 'discretized Stieltjes procedure', 'generalised polynomial chaos expansion', 'generalized polynomial chaos expansions', 'Generalized polynomial chaos expansions', 'model densities', 'Rosenblatt transformation', 'uncertainty problem']"
236,threedimensionaldigitalsubtractionangiographicimagesfromdiagnosticcerebralangiographywereobtainedatleastonedaypriortoembolizationinallpatientstherawdataof3ddsaindicomfilewereusedforcreating3dmodelofthetargetvesselsegmentthesedatawereconvertedtostandardtriangulationlanguagesurfacedataasanaggregationoffinetriangularmeshesusing3dvisualizationandmeasurementsoftwareversionfeiburlingtonmaanunstructuredcomputationalvolumetricmeshwasconstructedfromthetriangulatedsurfacesmoothingandremeshingfollowedasnextstepsthestlfilewasthentransferredto3dprinterprostratasysltdedenprairiemntheresolutionofthebuildlayerwasandthe3dprintedvesselmodelwasproducedusingacrylicresinfollowingimmersioninwaterforfewhoursthesurfaceofthe3dprintedmodelwassmoothedbymanuallyremoving,"['3D-DSA', '3D model', '3D printed model', '3D printer', '3D visualization', '3D visualization and measurement software', 'acrylic resin', 'Amira version X', 'cerebral angiography', 'computational volumetric mesh', 'creating a 3D model of the target vessel segment', 'DICOM file', 'embolization', 'immersion in water', 'measurement', 'OBJET30 Pro', 'remeshing', 'removing spicule.', 'smoothed', 'Smoothing', 'standard triangulation language', 'STL', 'STL file', 'Three-dimensional digital subtraction angiographic', 'triangular meshes', 'triangulated surface', 'Vero', 'water']"
237,firstresultsfromrhiconchargedmultiplicitiesevolutionofmultiplicitieswithcentralityparticleratiosandtransversemomentumdistributionsincentralandminimumbiascollisionsareanalyzedinstringmodelwhichincludeshardcollisionscollectivityintheinitialstateconsideredasstringfusionandrescatteringoftheproducedsecondariesmultiplicitiesandtheirevolutionwithcentralityaresuccessfullyreproducedtransversemomentumdistributionsinthemodelshowlargerpttailthanexperimentaldatadisagreementwhichgrowswithincreasingcentralitydiscrepancieswithparticleratiosappearandareexaminedcomparingwithpreviousfeaturesofthemodelatresultsfromrhiconchargedmultiplicitiesevolutionofmultiplicitieswithcentralityparticleratiosandtransversemomentumdistributionsincentralandminimumbiascollisionsareanalyzedinstringmodelwhichincludeshardcollisionscollectivityintheinitialstateconsideredasstringfusionandrescatteringoftheproducedsecondariesmultiplicitiesandtheirevolutionwithcentralityaresuccessfullyreproducedtransversemomentumdistributionsinthemodelshowlargerpttailthanexperimentaldatadisagreementwhichgrowswithincreasingcentralitydiscrepancieswithparticleratiosappearandareexaminedcomparingwithpreviousfeaturesofthemodelat,"['charged multiplicities', 'collectivity in the initial state', 'Discrepancies with particle ratios', 'evolution of multiplicities with centrality', 'hard collisions', 'Multiplicities', 'particle', 'particle ratios', 'rescattering of the produced secondaries', 'string model', 'their evolution', 'transverse momentum distributions', 'Transverse momentum distributions']"
238,owingtowidespreadavailabilitythemostextensivelyadoptedtomographytechniqueutilizesthemillingpoweroffocusedionbeaminconjunctionwiththeimagingcapabilitiesofhighresolutionfesemtoprovidesequenceof2dimagesthatcanbeeffectivelyrecombinedin3dspacehoweverbecausethistechniqueisdestructivestudiesofmicrostructuralevolutionareinfluencedbyinherentsamplevariabilitynondestructiveraynanocomputedtomographyprovidesplatformforexploringdynamicmicrostructuralchangeintheabsenceofthesepossiblecomplicationsandiscompatiblewithbothlaboratoryandsynchrotronradiationtheauthorshavepreviouslydemonstratedtechniqueforpreparationofoptimalsamplegeometriesforraynanoctwhilethisfibsamplepreparationroutewillinvolvetheselectiveremovalofportionsofthefuelcellelectrodemicrostructurethereforemaybedestructivetotheworkingfuelthenondestructiveraycharacterizationtechniqueallowsrepeatednondestructivecharacterizationoftheselectedsamplewhichfacilitatesthestudyofmicrostructuralevolutionprocessesinresponsetovariousenvironmental,"['2D images', 'CT', 'exploring dynamic microstructural change', 'FIB', 'FIB sample', 'FIB sample preparation route', 'focused ion beam', 'fuel cell electrode microstructure', 'high resolution FE-SEM', 'laboratory and synchrotron radiation', 'microstructural evolution processes', 'non-destructive X-ray characterization technique', 'Non-destructive X-ray nano-computed tomography', 'preparation of optimal sample geometries for X-ray nano-CT', 'selected sample', 'studies of microstructural evolution', 'tomography technique', 'working fuel cell', 'X-ray nano-CT']"
239,intheseframeworkshoweverthephysicalspacetimedimensionisaninputratherthanpredictionofthetheoryinfactinstandardtheorieswhosegravitationalsectorisdescribedbytheeinsteinhilbertactionthereisnoobstructiontoperformdimensionalreductionstospacetimesofdimensionsthenthequestionarisessinceelevendimensionalminkowskispaceismaximallystateandthetheoryiswellbehavedarounditwhythetheorydoesnotselectthisconfigurationasthevacuumbutinsteaditchoosesparticularcompactifiedspacewithlesssymmetryanidealsituationinsteadwouldbethattheelevendimensionaltheorydynamicallypredictedlowenergyregimewhichcouldonlybefourdimensionaleffectivetheoryinsuchscenariobackgroundsolutionwithaneffectivespacetimedimensionshouldbeexpectedtobefalsevacuumwherethepropagatorsforthedynamicalfieldsareilldefinedlestlowenergyeffectivetheorycouldexistindimensionshigherthan,"['background solution', 'compactified space', 'd>4', 'dimensional reductions', 'effective spacetime dimension', 'Einstein–Hilbert action', 'eleven-dimensional theory', 'false vacuum', 'four-dimensional effective theory', 'low energy effective theory', 'low energy regime', 'Minkowski space', 'physical spacetime dimension', 'prediction of the theory', 'propagators for the dynamical fields', 'select this configuration', 'standard theories', '(super)symmetric state']"
240,theexquisitemanipulationandexactmeasurementofpropertiesofindividualnanomaterialscomparedwithnotableprogressintheirpreparationhavenotbeenthoroughlyaddressedalbeitbeingofprimeimportanceforthesustaineddevelopmentofnewdevicestodateseveralinstrumentshavebeendesignedforsuchgoalsnamelyscanningelectronmicroscopesatomicforcemicroscopesandtransmissionelectronmicroscopescomparedwiththefirsttwosetupswhichhavenodirectaccesstothematerialinternalstructureandatomicbondinginformationthestateoftheartinsituhighresolutiontemtechniqueallowsonetonotonlymanipulatewithanindividualobjectatthenanoscaleprecisionbuttoalsogetdeepinsightsintoitsphysicalchemicalandmicrostructuralstatusescombiningthecapabilitiesofconventionalhighresolutiontemandafmorstmprobesproducesadvancedanddedicatedtemholderswhicharebecomingthepowerfultoolsinnanomaterialsmanipulationandpropertiesanalysissuchholdershavebeencommercializedforinstancebyinstrumentsgoteborgswedenthefullusefulnessoftheseadvancedinsitutemtechniquesisapparentwithrespecttomechanicalandthermalpropertyanalysisofindividualnanostructureselasticityplasticityandstrengthdatawhileemployingdirectbentortensiletestsprobingelectricalcharacteristicsfieldemissionelectricaltransporttracingsolderinganddoping,"['AFM', 'atomic bonding information', 'atomic force microscopes', 'direct bent or tensile tests', 'doping', 'electrical transport tracing', 'exact measurement of properties', 'field emission', 'holders', 'instruments', 'manipulate with an individual object', 'material internal structure', 'mechanical and thermal property analysis', 'nanomaterials', 'nanomaterials manipulation', 'nanostructures', 'probing electrical characteristics', 'properties analysis', 'scanning electron microscopes', 'SEM', 'soldering', 'STM probes', 'sustained development of new devices', 'TEM', 'TEM holders', 'TEM techniques', 'transmission electron microscopes']"
241,recentemployvarietyofmethodsforcalculatingupperlimitsandthereisnouniversallyacceptedwechooseanapproachsimilartothatfirstadvocatedbyfeldmanandthismethodhasbeensinceextendedbytoincorporateuncertaintiesindetectorsensitivityandthebackgroundestimatebasedonanapproachdescribedbycousinsandrefinementofthemethodbyresultsinmoreappropriatebehavioroftheupperlimitwhentheobservednumberofeventsislessthantheestimatedbackgroundasisthecaseforthepresentmeasurementwehaveadoptedthismethodbutnotethatcontainsallofthenumbersneededtocalculateanupperlimitusinganyofthemethodsinthepaperscitedaboveweassumethattheprobabilitydensityfunctionsoffsensandbackgroundestimatesaregaussian,"['background estimate', 'background estimates', 'calculate an upper limit', 'calculating upper limits', 'detector sensitivity', 'further refinement of the Conrad\xa0et\xa0al. method', 'Gaussian-distributed', 'incorporate uncertainties', 'measurement', 'more appropriate behavior', 'probability density functions']"
242,keypartofthisproblemisthataninspectoronlyhasaccesstodatafromsmallinspectedareainthisareathereisonlyoneminimumthicknesswhichdoesnotprovideenoughinformationtobuildmodelofthesmallestthicknessesaninspectorcangeneratesampleofthesmallestthicknessmeasurementsbypartitioningtheinspectiondataintonumberofequallysizedblocksineachblocktheminimumthicknessisrecordedthissetformssampleofthesmallestthicknessmeasurementsfromthissampleonecanbuildmodelwhichtakesintoaccountthevariationsofthesmallestthicknessmeasurementsextremevalueanalysisprovideslimitingformforthismodelitstatesthatiftheunderlyingthicknessmeasurementsineachblockaretakenfromindependentandidenticaldistributionsthenthesampleofminimumthicknessmeasurementswillfollowgeneralizedextremevaluedistribution,"['block', 'build a model of the smallest thicknesses', 'equally sized blocks', 'EVA', 'Extreme value analysis', 'generalized extreme value distribution', 'GEVD', 'inspection data', 'model of the smallest thicknesses', 'model which takes into account the variations of the smallest thickness measurements', 'partitioning the inspection data', 'sample']"
243,homolumoenergybandgapsbetweenylidesandtheirpyreneadductsproposethatthedcofsecondpyridiniumylidestoylidepyreneadductsarehomoylidelumoylidepyrenecontrolledsincetheenergybandgapissmallerthanhomoylidepyrenelumoylideregioselectivityofsecondcycloadditionwaspredictedusingtheatomicorbitalcoefficientscorrespondingtohomoylidelumoylidepyreneaccordingtofukuireactionscanbefavorableinthedirectionofmaximalhomolumooverlappingoflargercoefficientsatthereactivesitesthemostfavorableinteractionsbetweencorrespondingylidesandylidepyreneadductstoformthemostfavorableregioisomerconformationaregiveninsecondylideadditiontoylidepyrenestructureisthereforeanticipatedtoproceedviaylidec2c6ylidepyrenec3andylidec7ylidepyrenec2interactionstoproducethesameregioisomerconformationsconsideringthetheoreticalcalculationsperformedforpyrrolidineattachedpyrenestructureitisalsoexpectedthatformationofthesametypeofregioisomersarefavorableforswntsafterthedcofpyridiniumylides,"['1,3-DC', '1,3-DC of pyridinium ylides', 'atomic orbital coefficients', 'formation of the same type of regioisomers', 'HOMO–LUMO', 'HOMOylide–LUMOylide–pyrene', 'HOMOylide–pyrene–LUMOylide', 'maximal HOMO–LUMO overlapping', 'most favorable regioisomer conformation', 'pyrene adducts', 'pyrrolidine attached pyrene', 'regioisomer conformations', 'regioisomers', 'Regioselectivity of second cycloaddition', 'second pyridinium ylides', 'SWNTs', 'theoretical calculations', 'ylide', 'ylideC2/C6–ylidepyrene-C3', 'ylideC7–ylidepyrene/C2', 'ylidepyrene', 'ylidepyrene adducts', 'ylides', 'ylides and ylidepyrene adducts']"
244,thelateralforceismeasuredandrecordedthroughouttheentiretestbypiezoelectricloadcellwhichisconnectedtothequasistationarylsmbthelsmbismountedonflexureswhichprovideflexibilityinthehorizontaldirectionsothatthemajorityofthelateralforceistransmittedthoughthemuchstifferloadpathwhichcontainstheloadcellasshowninfigbothdisplacementandloadsensorshavebeencalibratedexternallyandininstaticconditionstheloadanddisplacementsignalsaresampledatrateoftwohundredmeasurementsperfrettingcycleatallfrettingfrequencieswiththesedatabeingusedtogeneratefrettingloopstheloopswereusedtoderivethecontactslipamplitudeandtheenergycoefficientoffrictionineachcycleaccordingtothemethodsuggestedbyfouvryetalaveragevaluesforthesewerecalculatedforeachtestaveragecoefficientoffrictionincludedvaluesassociatedwiththeinitialtransientsinthetestsassuggestedbyhirschandneu,"['displacement and load sensors', 'flexures', 'fretting loops.', 'lateral force, Q, is measured and recorded', 'load cell', 'LSMB', 'piezoelectric load cell']"
245,thissectionisdevotedtothediscretizationoftheadvectiondiffusionequationandtotheanalysisofdispersionanddiffusioneigencurvesfordifferentpolynomialordersthespectralhpcontinuousgalerkinmethodconsideredcloselyresemblestheformulationpresentedinsecdescribesindetailthederivationofthesemidiscreteadvectiondiffusionproblemasappliedtowavelikesolutionsfromwhichtherelevanteigencurvescanbeobtainedtheinviscidcaseisthenaddressedinsecwheretheroleofprimaryandsecondaryeigencurvesisdiscussedfromtheperspectiveintroducedintheviscouscaseissubsequentlyconsideredinsecwhereeigencurvesareshowntofeatureirregularoscillationsforproblemsstronglydominatedbyeitherconvectionor,"['derivation of the semi-discrete advection–diffusion problem', 'discretization of the advection–diffusion equation', 'dispersion and diffusion eigencurves', 'Galerkin method', 'inviscid case', 'linear advection', 'viscous case', 'wave-like solutions']"
246,manyapplicationsinfluidmechanicshaveshownthatsurfacesuctioncanbeusedasaneffectiveflowcontrolmechanismforexamplegregoryanddiscusshowtheintroductionofsuctionextendsthelaminarflowregionoversweptwingbyreducingthethicknessoftheboundarylayerandthemagnitudeofcrossflowvelocityconclusionsforthesweptwingflowarosefromequivalentstudiesofthevonkármánflowgregoryandandworkhassincecontinuedintothisandrelatedflowsusingnumericalandasymptoticapproachesbassomandlingwoodandfortheliteratureshowsthatincreasingsuctionhasstabilisingeffectonthegeneralclassofekmanandvonflowswhichresultsinanincreaseincriticalreynoldsnumbersfortheonsetofconvectiveandabsoluteinstabilitiesnarrowingintherangeofunstableparametersanddecreaseinamplificationratesoftheunstableconvectivemodestheconvectiveinstabilityresultsareinterpretedintermsofdelayintheonsetofspiralvorticesandtheabsoluteinstabilityresultsintermsoftheonsetoflaminarturbulenttransition,"['absolute instability', '“Bödewadt, Ekman and von Kármán” (BEK) flows', 'convective instability', 'decrease in amplification rates', 'flow-control mechanism', 'fluid mechanics', 'increase in critical Reynolds numbers', 'increasing suction', 'laminar-turbulent transition', 'magnitude of crossflow velocity', 'narrowing in the range of unstable parameters', 'numerical and asymptotic approaches', 'reducing the thickness of the boundary layer', 'reducing the thickness of the boundary layer and the magnitude of crossflow velocity', 'rotating disk', 'spiral vortices', 'surface suction', 'swept wing', 'swept-wing', 'swept-wing flow']"
247,metalintermetalliclaminatedcompositesarefabricateduponreactionsinteringoftitaniumandaluminumfoilsofvariousthicknessestheintermetallicphaseofal3tiformingduringtheaboveprocessinggiveshighhardnessandstiffnesstothecompositewhileunreactedtitaniumprovidesthenecessaryhighstrengthandductilitysomeresultsofstudiesofmicrostructureandsomemechanicalpropertiesoflayeredcompositesarepresentedontheexampleoftialsystemstaticanddynamictestsresultsarediscussedforthecasewhentheintermetallicreactionwasinterruptedinthecourseofintermetallicsinteringandalsoforthecasewhenitwascompleted,"['Al3Ti', 'Al3Ti forming', 'composite', 'fabricated upon reaction sintering', 'intermetallic phase', 'intermetallic reaction', 'intermetallic sintering', 'interrupted', 'layered composites', 'Metal–intermetallic laminated', 'MIL', 'presented on the example of Ti-Al system', 'processing', 'reaction sintering', 'Static and dynamic tests', 'Static and dynamic tests results are discussed', 'studies of microstructure', 'Ti-Al system', 'titanium and aluminum foils', 'unreacted titanium']"
248,theboundaryelementmethodhasclearadvantageswhenappliedtoshapeoptimisationofhighvoltagedevicesseeforanintroductiontobemfirstofallbemreliesonlyonsurfacediscretisationsothatthereisnoneedtomaintainananalysissuitablevolumediscretisationduringtheshapeoptimisationprocessmoreoverbemisidealforsolvingproblemsinunboundeddomainsthatoccurinelectrostaticfieldanalysisingradientbasedshapeoptimisationtheshapederivativeofthecostfunctionalwithrespecttogeometryperturbationsisneededtothispurposeweusetheadjointapproachandsolvetheprimaryandtheadjointboundaryvalueproblemswithbemtheassociatedlinearsystemsofequationsaredenseandanaccelerationtechniquesuchasthefastmultipolemethodisnecessaryfortheirefficientsolutionforsomerecentapplicationsoffastbeminshapeoptimisationandbernoullitypefreeboundaryproblemswereferto,"['adjoint approach', 'BEM', 'Bernoulli-type free-boundary problems', 'boundary element method', 'electrostatic field analysis', 'fast BEM in shape optimisation', 'fast multipole method', 'gradient-based shape optimisation', 'primary and the adjoint boundary value problems', 'shape derivative', 'shape optimisation', 'shape optimisation of high-voltage devices', 'solving problems in unbounded domains', 'surface discretisation']"
249,inthepaperwepresentanextendedversionofthegraphbasedunsupervisedwordsensedisambiguationalgorithmthealgorithmisbasedonthespreadingactivationschemeappliedtothegraphsdynamicallybuiltonthebasisofthetextwordsandlargewordnetthealgorithmoriginallyproposedforenglishandprincetonwordnetwasadaptedtopolishandplwordnetanextensionbasedontheknowledgeacquiredfromthecorpusderivedmeasureofsemanticrelatednesswasproposedtheextendedalgorithmwasevaluatedagainstthemanuallydisambiguatedcorpusweobservedimprovementinthecaseofthedisambiguationperformedforshortertextcontextsinadditionthealgorithmapplicationexpressedimprovementindocumentclusteringtask,"['algorithm', 'built on the basis of the text words and a large wordne', 'corpus-derived Measure of Semantic Relatedness', 'disambiguation', 'document clustering task', 'English and Princeton WordNet', 'extended algorithm', 'extended version of the graph-based unsupervised Word Sense Disambiguation algorithm', 'extension', 'large wordnet', 'manually disambiguated corpus', 'Polish and plWordNet', 'spreading activation scheme', 'text words', 'Word Sense Disambiguation algorithm']"
250,wehavedemonstratednewapproachtothemanufactureofselffoldinghydrogelscaffoldsbytheuseofreadilyavailableandfastthroughputmethodstheprocessshowseffectivepatterntransferbyfirstembossingsacrificiallayerandusingitassolublemouldinthefabricationprocesstheuseofsacrificiallayerofpaaimpartsenvironmentalsensitivitytothehydrogelfilmononlyonesurfacethesubsequentswellingofthepaainterpenetratingnetworkinelevatedphcausesswellingdifferentialacrossthefilmcausingittorolltoaccommodatethedifferenceinsurfaceareabetweenthetwosurfacesthesurfacefunctionalizationandpatterningstagesarethuscombinedintoonephotolithographicoperationthenetresultismethodofproducingenvironmentallytriggeredselffoldingallhydrogelscaffoldsbytotheknowledgenoveluseofsacrificiallayerembossingthepatternedhydrogelfilmscanbetriggeredconsecutivelyallowingforsuccessiverollingandunrollingdependingontheaqueousphthechoiceofpegdmahydrogelprovidesversatileplatformforcreatingvarietyofhydrogelscaffoldsandwhilebeingnonfoulingandnontoxicitispermeabletoproteinsfurthermorepegdmacanbemodifiedtoproducebiodegradableandcelladhesivehydrogelsforvarietyofbiomedical,"['accommodate the difference in surface area between the two surfaces', 'aqueous pH', 'biomedical applications', 'effective pattern transfer', 'elevated pH', 'embossing a sacrificial layer', 'fabrication process', 'film', 'hydrogel film', 'hydrogels', 'hydrogel scaffolds', 'IPN', 'manufacture of self-folding hydrogel scaffolds', 'novel use of sacrificial layer embossing', 'PAA inter-penetrating network', 'patterned hydrogel films', 'PEGDMA', 'PEGDMA hydrogel', 'photolithographic operation', 'produce biodegradable and cell adhesive hydrogels', 'producing environmentally triggered self-folding all hydrogel scaffolds', 'proteins', 'readily available and fast throughput methods', 'roll', 'rolling', 'sacrificial layer of PAA', 'self-folding hydrogel scaffolds', 'soluble mould', 'surface', 'surfaces', 'swelling differential', 'swelling of the PAA inter-penetrating network', 'triggered consecutively', 'unrolling', 'using it as a soluble mould in the fabrication process', 'versatile platform for creating a variety of hydrogel scaffolds']"
251,therehavebeensuggestionsthatelectronscanbetrappedinthebulkandatsurfacesofsilicabutnewmodelsofelectrontrappingcentresstartedtoappearonlyrecentlyithasbeensuggestedbybersukeretalwhousedmolecularmodelsthatelectronscanbetrappedbysibondsinsio2leadingtotheirweakeningandthusfacilitatingsibonddissociationfurthercalculationsbycamelloneetalhaveshownthatelectronscanspontaneouslytrapinnondefectivecontinuumrandomnetworkmodelofsio2recentcalculationshavealsodemonstratedthatthetwodominantneutralparamagneticdefectsatsurfacesofsio2thenonbridgingoxygencentreandthesilicondanglingbondaredeepelectrontrapsandcanformthecorrespondingnegativelychargeddefectshoweverthesetheoreticalpredictionshavenotyetbeenconfirmedexperimentallyemphasisingthechallengesforidentifyingdefect,"['a-SiO2', 'a-SiO2 leading', 'bulk', 'deep electron traps', 'electrons', 'electron trapping centres', 'identifying defect centres', 'molecular models', 'negatively charged defects', 'neutral paramagnetic defects', 'non-bridging oxygen centre', 'non-defective continuum random network model', 'silica', 'silicon dangling bond', 'Si–O bond', 'Si–O bond dissociation', 'Si–O bonds', 'spontaneously trap', 'surfaces of a-SiO2', 'trapped', 'trapped in the bulk and at surfaces of silica', 'weakening']"
252,3dfiniteelementbasedcomsolcapacitanceanalysisiscombinedwithmontecarlosingleelectroncircuitsimulationstomodeldeviceoperationsduringsingleelectrondetectionthe3dstructuraldataofthenanoscaledqdpairandmultiplegateelectrodesarepreciselyinputintofembasedelectrostaticssimulatorcapacitancesbetweendifferentdevicecomponentsarethenextractedandfedintothewelltestedsingleelectroncircuitsimulatorsetspicebasedontheorthodoxtheoryofsingleelectrontunnellingforourtargetd1of60nmsimulationresultsshowedthataswesweepthevoltageappliedongateg1vg1singleelectrontunnellingintothetwoqdsshouldgenerateshiftsintheelectrometercurrentidsoftensofpathisiswellwithinthechargesensitivityofdqdelectrometerandconsistenttothesameorderofmagnitudewithpreviousworkinsingleelectrondetectioninadditionthegatetoqdcapacitivecouplingappeartobesufficientforthecontrolofqdoccupationsdowntothesingleelectronlimitallowingforfuturemanipulationofsingleelectronspinsinqubit,"['3D finite element based (FEM) COMSOL capacitance analysis', '3D structural data', 'COMSOL’s FEM-based electrostatics simulator', 'control of QD occupations', 'device components', 'DQD electrometer', 'electrometer current', 'gate', 'gate G1', 'IDS', 'manipulation of single electron spins', 'model device operations during single electron detection', 'Monte Carlo single-electron circuit simulations', 'multiple gate electrodes', 'nanoscale DQD pair', 'orthodox theory', 'QD capacitive coupling', 'qubit research', 'SETSPICE', 'shifts in the electrometer current', 'simulation', 'single electron detection', 'single electron spins', 'single electron tunnelling', 'target d1', 'turnstile’s two QDs', 'VG1', 'well-tested single electron circuit simulator']"
253,thispapermaketheexplainedvariablesourfinancialstressindexconsistofthesynchronousvariablesfinancialsystemicriskandmaketheexplanatoryvariablesthemacroeconomicvariablecurrencycreditvariableassetpricevariableandthemacroeconomicvariableofcorrelativeeconomicpowersthenusestepwiseregressionmethodtoestablishthefinancialsystemicriskbestpredictequationthussetupthereasonableandpracticalfinancialsystemicriskearlywarningindexsystembesidesusethebestpredictionequationspredictsthefinancialsystemicriskstatusin2011thepredictedresultsshowthatchinesefinancialsystemicriskisontheriseinthefirstthreequartersandhigherthanthepeakof2008financialsystemicriskstarttodeclinesincethefourthquarter,"['asset price variable', 'best prediction equations', 'currency credit variable', 'establish the financial systemic risk best predict equation', 'financial stress index', 'financial systemic risk best predict equation', 'financial systemic risk early-warning index system', 'macroeconomic variable', 'macroeconomic variable of correlative economic powers', 'set up the reasonable and practical financial systemic risk early-warning index system', 'stepwise regression method', 'synchronous variables financial systemic risk']"
254,modelingcollaborationprocessesischallengingtaskexistingmodelingapproachesarenotcapableofexpressingtheunpredictablenonroutinenatureofhumancollaborationwhichisinfluencedbythesocialcontextofinvolvedcollaboratorsweproposemodelingapproachwhichconsiderscollaborationprocessesastheevolutionofnetworkofcollaborativedocumentsalongwithsocialnetworkofcollaboratorsourmodelingapproachaccompaniedbygraphicalnotationandformalizationallowstocapturetheinfluenceofcomplexsocialstructuresformedbycollaboratorsandthereforefacilitatessuchactivitiesasthediscoveryofsociallycoherentteamssocialhubsorunbiasedexpertswedemonstratetheapplicabilityandexpressivenessofourapproachandnotationanddiscusstheirstrengthsand,"['collaboration processes', 'discovery of socially coherent teams', 'evolution of a network of collaborative documents along with a social network of collaborators', 'graphical notation and formalization', 'human collaboration', 'influence of complex social structures', 'modeling approach', 'modeling approaches', 'Modeling collaboration processes']"
